# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
290 290 0  1858
        1         1 (1.6952902226952346609,0)
        1        18 (-0.302223125867914999,0)
        1        65 (-0.39996185845074500032,0)
        1       218 (-0.99310523837657471713,0)
        2         2 (1.788611318473101619,0)
        2        29 (-0.23703847229065211355,0)
        2        30 (-0.24914809583483799038,0)
        2       189 (-0.38130800235518957919,0)
        2       272 (-0.92111674799242204692,0)
        3         3 (1.6694819529721947049,0)
        3        41 (-0.3821336607378592598,0)
        3        42 (-0.39296808632424734542,0)
        3       170 (-0.89438020591008848825,0)
        4         4 (1.7581767344639422923,0)
        4        53 (-0.41593114884040510715,0)
        4        54 (-0.22026794565058407938,0)
        4       155 (-0.37399671768002773486,0)
        4       230 (-0.74798092229292523214,0)
        5         5 (2.2068326576915797688,0)
        5        66 (-0.19071223481341170736,0)
        5        67 (-0.10345682344906471928,0)
        5       212 (-0.44860744116809175841,0)
        5       255 (-0.75457483875442377119,0)
        5       265 (-0.70948131950658810396,0)
        6         6 (2.1081595744964043426,0)
        6        66 (-0.47783839569111696832,0)
        6        68 (-0.068216799165510461078,0)
        6       197 (-0.57307249797511194966,0)
        6       262 (-0.94147193667043604925,0)
        6       274 (-0.047559944994228775528,0)
        7         7 (1.0245057719012504727,0)
        7        72 (-0.2624661335304544485,0)
        7        73 (-0.25758041320797325779,0)
        7       206 (-0.50445922516282282189,0)
        8         8 (2.1253699015138853845,0)
        8        75 (-0.030730074552937747256,0)
        8        76 (-0.29239613693149324458,0)
        8       221 (-0.75297564557922647133,0)
        8       242 (-1.0492680444502280324,0)
        9         9 (1.064953441370561471,0)
        9        14 (-0.071686031028428576217,0)
        9        76 (-0.86629746370444249415,0)
        9       242 (-0.12696994663769065048,0)
       10        10 (1.2271231412436442998,0)
       10        15 (-0.37603526313754409571,0)
       10        77 (-0.04392338010371665824,0)
       10       178 (-0.80716449800238332379,0)
       11        11 (1.2143630780583003492,0)
       11        78 (-0.099877075514086977037,0)
       11        79 (-0.37494918442430480443,0)
       11       163 (-0.7395368181199087898,0)
       12        12 (1.6914141414113028627,0)
       12        17 (-1.5277777777745986665,0)
       12        80 (-0.16363636363670416851,0)
       13        13 (1.9462778120358070755,0)
       13        67 (-0.22532521764710355949,0)
       13        86 (-0.25944194835745759686,0)
       13       154 (-0.30908928801985829926,0)
       13       214 (-0.41643799098663136782,0)
       13       220 (-0.73598336702475630755,0)
       14         9 (-0.071686031028428576217,0)
       14        14 (3.0985225160538290012,0)
       14        15 (-0.053055766383174565726,0)
       14       156 (-0.2818560290425555781,0)
       14       187 (-0.58490446088579695072,0)
       14       191 (-0.44443215013388426282,0)
       14       225 (-0.9503151913650107474,0)
       14       242 (-0.71227288721497805657,0)
       15        10 (-0.37603526313754409571,0)
       15        14 (-0.053055766383174565726,0)
       15        15 (2.4387134692909619993,0)
       15       178 (-0.21209308970612722467,0)
       15       225 (-0.80570968159935152375,0)
       15       240 (-0.99181966846476465882,0)
       16        16 (3.0851218001363531762,0)
       16        17 (0.053579686595000612648,0)
       16        79 (-0.29983359259631231497,0)
       16       142 (-0.22997553320458535842,0)
       16       183 (-0.57768000666590979542,0)
       16       186 (-0.71262671229759488867,0)
       16       193 (-0.88393199183672621633,0)
       16       234 (-0.43465365013022605467,0)
       17        12 (-1.5277777777745986665,0)
       17        16 (0.053579686595000612648,0)
       17        17 (3.3055205746662323918,0)
       17        80 (-0.051708551573353855879,0)
       17       175 (-0.75705191673960114951,0)
       17       193 (-1.022562015173679395,0)
       18         1 (-0.302223125867914999,0)
       18        18 (1.6658191317807558018,0)
       18        19 (-0.15849029422638039044,0)
       18       218 (-0.2064112618997285542,0)
       18       277 (-0.99869444978673194147,0)
       19        18 (-0.15849029422638039044,0)
       19        19 (1.6058209233732978483,0)
       19        20 (-0.34693330714404824189,0)
       19       195 (-0.53334872402110666822,0)
       19       277 (-0.56704859798176243668,0)
       20        19 (-0.34693330714404824189,0)
       20        20 (1.7143858659534843003,0)
       20        21 (-0.20153488925283788435,0)
       20       195 (-0.26970447098810046427,0)
       20       222 (-0.89621319856849757102,0)
       21        20 (-0.20153488925283788435,0)
       21        21 (1.712919539354363696,0)
