290	
	(-0.6782098132,-0.6142560636)	(-0.01098552848,-0.8272653422)	(0.3359059778,-0.4067002995)	(0.1099406303,0.5636611936)	(0.08126262852,-0.5569131197)
	(0.08748921887,-0.6939542159)	(0.3174863686,-0.2852783855)	(-0.3882354857,-0.7538599536)	(0.689815131,0.4522566204)	(0.2371030542,-0.5305880484)
	(0.4269208144,-0.3932100695)	(-0.8024374629,0.3632934548)	(0.6206053333,0.1710445892)	(0.2788569651,-0.434597599)	(0.3895119657,-0.1832327917)
	(0.3867211043,-0.2309301427)	(0.4237392406,-0.202785861)	(-0.7261514367,-0.3035726496)	(0.2685820376,-0.5031940596)	(-0.4095607562,0.4957224134)
	(0.8997330776,0.2155221444)	(-0.4192235964,0.7002677338)	(-0.4091037254,-0.4189501421)	(-0.6669133242,-0.3589698768)	(0.4880599305,-0.3596796379)
	(-0.2678892887,-0.618272768)	(-0.9199226036,-0.2509659811)	(-0.07714404913,-0.6488924248)	(-0.4995237348,0.6737737561)	(-0.04479469806,-0.6404691727)
	(-0.6861344175,0.02694114635)	(0.1867913405,-0.5458539532)	(0.3938090042,-0.3950998953)	(0.3654831088,-0.3413456396)	(-0.872835826,0.200505891)
	(0.2118896646,-0.8566115957)	(0.1431061471,-0.5753337763)	(-0.3443196011,0.509471056)	(0.4056333069,0.4529308887)	(-0.4340178141,-0.7349832657)
	(-0.2408123131,0.7345251822)	(-0.2738177154,-0.6127680144)	(-0.01729429548,-0.5813061854)	(0.6041252963,-0.04925277248)	(0.1415220604,0.420501658)
	(-0.1571132178,-0.5831807166)	(0.4022251593,0.2066822582)	(-0.2857833184,-0.6242135741)	(-0.2075666428,-0.6748926455)	(-0.7555228029,-0.05205527212)
	(-0.5659243891,-0.5767197203)	(-0.4281766795,-0.4459043783)	(-0.7411180779,-0.4624116386)	(-0.3400205136,-0.6184569269)	(-0.5861822818,-0.6394434498)
	(0.7376269242,-0.4510384115)	(-0.2037039998,-0.9346950054)	(0.3807743025,0.004760542634)	(0.4144625203,0.1608950728)	(0.3785292289,0.01824491545)
	(0.8718540326,-0.194241468)	(0.1017728085,-0.5206746536)	(-0.2748547833,-0.645007117)	(-0.6910140647,-0.4695334157)	(0.3470689853,-0.3439479447)
	(0.1456746848,0.8091110384)	(0.3497658919,-0.3371339713)	(-0.07488577897,0.4229193475)	(0.1973617033,-0.5062686011)	(-0.9647015727,-0.1349137509)
	(-0.3550323293,0.8646802759)	(-0.3315491989,0.5157909938)	(-0.2126588858,-0.6525166409)	(0.09522714124,-0.6020283542)	(-0.7504918311,-0.453327985)
	(-0.7090565574,-0.4720212749)	(-0.607930067,0.7086850199)	(0.1318882755,-0.5875025238)	(-0.609209904,-0.2664216064)	(-0.9594422748,-0.09540992064)
	(0.3468034943,0.3842697265)	(0.1275478921,-0.5013386716)	(-0.4441926929,0.1462157224)	(-0.5446883167,0.2502551433)	(0.5444028442,-0.3579571509)
	(0.03592746997,-0.5726568139)	(0.2398617869,0.4584701963)	(0.7509092848,0.4792609187)	(-0.9390010115,0.03796029015)	(-0.1006620861,-0.611121356)
	(0.1504615467,-0.5213280139)	(0.3848911561,-0.398262532)	(0.6616519183,-0.142618443)	(0.2135884263,0.6088683834)	(-0.3388361481,0.2844430944)
	(0.5376065079,0.7174810924)	(-0.500167747,-0.4983772715)	(-0.3786564532,-0.5468590393)	(-0.1212488751,0.8810826126)	(-0.7175605673,-0.4083146534)
	(0.2083830992,-0.6366952875)	(-0.5963895628,0.3917832597)	(0.5052814755,-0.6961404993)	(-0.1753425424,-0.6955164286)	(-0.4563064241,0.2883948922)
	
