# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
290 290 0  1858
        1         1 (-0.047929027529853972245,0)
        1        18 (-0.011735079503365884387,0)
        1        65 (-0.012229434261561105204,0)
        1       218 (-0.023964513764926986122,0)
        2         2 (-0.059719162517450685712,0)
        2        29 (-0.011238015471691741726,0)
        2        30 (-0.010514726567144208613,0)
        2       189 (-0.019344854691581141182,0)
        2       272 (-0.018621565787033611539,0)
        3         3 (-0.052400577673040925342,0)
        3        41 (-0.013069720035379024312,0)
        3        42 (-0.013130568801141440094,0)
        3       170 (-0.026200288836520459201,0)
        4         4 (-0.077522045520062282664,0)
        4        53 (-0.015215714916729379882,0)
        4        54 (-0.010941275735236757199,0)
        4       155 (-0.027819747024794394541,0)
        4       230 (-0.023545307843301773593,0)
        5         5 (-0.048799532009733040394,0)
        5        66 (-0.0069144725118155678581,0)
        5        67 (-0.0059156483056794755687,0)
        5       212 (-0.011569645187371482842,0)
        5       255 (-0.013113289740793962826,0)
        5       265 (-0.011286476264072559106,0)
        6         6 (-0.06755348422804072217,0)
        6        66 (-0.0073818160278669303631,0)
        6        68 (-0.0074057908845298050723,0)
        6       197 (-0.018989135201623631721,0)
        6       262 (-0.014804941546907254141,0)
        6       274 (-0.018971800567113100006,0)
        7         7 (-0.039637869028000809191,0)
        7        72 (-0.010638766880019804445,0)
        7        73 (-0.0091801676339806053545,0)
        7       206 (-0.019818934514000408065,0)
        8         8 (-0.022836087657342712953,0)
        8        75 (-0.00610388420463125244,0)
        8        76 (-0.0018458076917832401571,0)
        8       221 (-0.0095722361368881167532,0)
        8       242 (-0.0053141596240401049039,0)
        9         9 (-0.015825236304795986531,0)
        9        14 (-0.0060668104700578534896,0)
        9        76 (-0.0018458076823401432451,0)
        9       242 (-0.0079126181523979932653,0)
       10        10 (-0.023963179886478568753,0)
       10        15 (-0.0057734371232957774206,0)
       10        77 (-0.0062081528199435086907,0)
       10       178 (-0.011981589943239282642,0)
       11        11 (-0.023672221391420132652,0)
       11        78 (-0.0068616295526930581525,0)
       11        79 (-0.0049744811430170107758,0)
       11       163 (-0.011836110695710066326,0)
       12        12 (-0.0090471373676464152819,0)
       12        17 (-0.004523568683823210243,0)
       12        80 (-0.0045235686838232076409,0)
       13        13 (-0.076567518459841166223,0)
       13        67 (-0.0074401363561044575254,0)
       13        86 (-0.010925292246417538794,0)
       13       154 (-0.019918330627398596333,0)
       13       214 (-0.022204094056338181257,0)
       13       220 (-0.016079665173582405324,0)
       14         9 (-0.0060668104700578534896,0)
       14        14 (-0.081837506952385258296,0)
       14        15 (-0.0063387795861470216593,0)
       14       156 (-0.017647040976041146465,0)
       14       187 (-0.010866122443946621412,0)
       14       191 (-0.015686349397145922524,0)
       14       225 (-0.014554703810538941952,0)
       14       242 (-0.010677700268507769876,0)
       15        10 (-0.0057734371232957774206,0)
       15        14 (-0.006338779586147020792,0)
       15        15 (-0.043393871194792640877,0)
       15       178 (-0.010372234368299700774,0)
       15       225 (-0.011324701229096623134,0)
       15       240 (-0.0095847188879535256956,0)
       16        16 (-0.068646587727645452803,0)
       16        17 (-0.0051247082397802446591,0)
       16        79 (-0.0043378697867364878621,0)
       16       142 (-0.013693571405424770013,0)
       16       183 (-0.013534568393293745087,0)
       16       186 (-0.010536617746783364172,0)
       16       193 (-0.010252107723745624082,0)
       16       234 (-0.011167144431881232541,0)
       17        12 (-0.004523568683823210243,0)
       17        16 (-0.0051247082397802455264,0)
       17        17 (-0.04674489175200172153,0)
       17        80 (-0.012890915552865403818,0)
       17       175 (-0.013724168952397409332,0)
       17       193 (-0.010481530323135458682,0)
       18         1 (-0.011735079503365884387,0)
       18        18 (-0.061896488753361247892,0)
       18        19 (-0.0094826499342179747937,0)
       18       218 (-0.021465594442462650887,0)
       18       277 (-0.019213164873314744763,0)
       19        18 (-0.0094826499342179747937,0)
       19        19 (-0.064868449646412168486,0)
       19        20 (-0.01326260595127431649,0)
       19       195 (-0.022951574888988107714,0)
       19       277 (-0.019171618871931760814,0)
       20        19 (-0.01326260595127431649,0)
       20        20 (-0.069556263249620275957,0)
       20        21 (-0.010423611342305492272,0)
       20       195 (-0.024354520282504652645,0)
       20       222 (-0.021515525673535831896,0)
       21        20 (-0.010423611342305492272,0)
       21        21 (-0.077250279676324654088,0)
       21        22 (-0.015910165310791358345,0)
       21       152 (-0.028201528495856841711,0)
       21       222 (-0.022714974527370972168,0)
       22        21 (-0.015910165310791358345,0)
       22        22 (-0.085734155125352817794,0)
       22        23 (-0.011469127495300334568,0)
       22       152 (-0.03139795006737607086,0)
       22       174 (-0.026956912251885047083,0)
       23        22 (-0.011469127495300334568,0)
       23        23 (-0.060078758230565805498,0)
       23        24 (-0.0090694595901784774705,0)
       23       174 (-0.020969919525104428748,0)
       23       237 (-0.01857025161998257512,0)
       24        23 (-0.0090694595901784774705,0)
       24        24 (-0.063372609710719368659,0)
       24        25 (-0.013795152745878539249,0)
       24       161 (-0.022616845265181210328,0)
       24       237 (-0.017891152109481143345,0)
       25        24 (-0.013795152745878539249,0)
       25        25 (-0.078745018613541689634,0)
       25        26 (-0.012877336153220625067,0)
       25       161 (-0.026495173153550231893,0)
       25       182 (-0.025577356560892317711,0)
       26        25 (-0.012877336153220625067,0)
       26        26 (-0.063806467291336099734,0)
       26        27 (-0.0094190679312678542157,0)
       26       182 (-0.022484165714400195651,0)
       26       269 (-0.019025897492447426534,0)
