# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
290 290 0  1858
        1         1 (0,-0.38815607654533790249)
        1        18 (0,-0.097039019435957246662)
        1        65 (0,-0.097039018836711704585)
        1       218 (0,0)
        2         2 (0,-0.39018449463046672721)
        2        29 (0,-0.09754612347297050845)
        2        30 (0,-0.097546123842262827397)
        2       189 (0,0)
        2       272 (0,0)
        3         3 (0,-0.38815607654533790249)
        3        41 (0,-0.097039018836711704585)
        3        42 (0,-0.097039019435957246662)
        3       170 (0,0)
        4         4 (0,-0.39018449463046672721)
        4        53 (0,-0.09754612347297050845)
        4        54 (0,-0.097546123842262827397)
        4       155 (0,0)
        4       230 (0,0)
        5         5 (0,0)
        5        66 (0,0)
        5        67 (0,0)
        5       212 (0,0)
        5       255 (0,0)
        5       265 (0,0)
        6         6 (0,0)
        6        66 (0,0)
        6        68 (0,0)
        6       197 (0,0)
        6       262 (0,0)
        6       274 (0,0)
        7         7 (0,0)
        7        72 (0,0)
        7        73 (0,0)
        7       206 (0,0)
        8         8 (0,0)
        8        75 (0,0)
        8        76 (0,0)
        8       221 (0,0)
        8       242 (0,0)
        9         9 (0,0)
        9        14 (0,0)
        9        76 (0,0)
        9       242 (0,0)
       10        10 (0,0)
       10        15 (0,0)
       10        77 (0,0)
       10       178 (0,0)
       11        11 (0,0)
       11        78 (0,0)
       11        79 (0,0)
       11       163 (0,0)
       12        12 (0,0)
       12        17 (0,0)
       12        80 (0,0)
       13        13 (0,0)
       13        67 (0,0)
       13        86 (0,0)
       13       154 (0,0)
       13       214 (0,0)
       13       220 (0,0)
       14         9 (0,0)
       14        14 (0,0)
       14        15 (0,0)
       14       156 (0,0)
       14       187 (0,0)
       14       191 (0,0)
       14       225 (0,0)
       14       242 (0,0)
       15        10 (0,0)
       15        14 (0,0)
       15        15 (0,0)
       15       178 (0,0)
       15       225 (0,0)
       15       240 (0,0)
       16        16 (0,0)
       16        17 (0,0)
       16        79 (0,0)
       16       142 (0,0)
       16       183 (0,0)
       16       186 (0,0)
       16       193 (0,0)
       16       234 (0,0)
       17        12 (0,0)
       17        16 (0,0)
       17        17 (0,0)
       17        80 (0,0)
       17       175 (0,0)
       17       193 (0,0)
       18         1 (0,-0.097039019435957246662)
       18        18 (0,-0.38855518025960272821)
       18        19 (0,-0.097238570693844103565)
       18       218 (0,0)
       18       277 (0,0)
       19        18 (0,-0.097238570693844103565)
       19        19 (0,-0.38926383482665494196)
       19        20 (0,-0.097393346719483381291)
       19       195 (0,0)
       19       277 (0,0)
       20        19 (0,-0.097393346719483381291)
       20        20 (0,-0.38972595111298335979)
       20        21 (0,-0.097469628837008326361)
       20       195 (0,0)
       20       222 (0,0)
       21        20 (0,-0.097469628837008326361)
       21        21 (0,-0.3899500572554849831)
       21        22 (0,-0.097505399790734151311)
       21       152 (0,0)
       21       222 (0,0)
       22        21 (0,-0.097505399790734151311)
       22        22 (0,-0.39005708036792163806)
       22        23 (0,-0.097523140393226681599)
       22       152 (0,0)
       22       174 (0,0)
       23        22 (0,-0.097523140393226681599)
       23        23 (0,-0.39011171763833185633)
       23        24 (0,-0.097532718425939232687)
       23       174 (0,0)
       23       237 (0,0)
       24        23 (0,-0.097532718425939232687)
       24        24 (0,-0.39014189361780737819)
       24        25 (0,-0.097538228382964456409)
       24       161 (0,0)
       24       237 (0,0)
       25        24 (0,-0.097538228382964456409)
       25        25 (0,-0.39015963474734582928)
       25        26 (0,-0.097541588990708416596)
       25       161 (0,0)
       25       182 (0,0)
       26        25 (0,-0.097541588990708430473)
       26        26 (0,-0.39017056078890521853)
       26        27 (0,-0.097543691403744192669)
       26       182 (0,0)
       26       269 (0,0)
       27        26 (0,-0.097543691403744192669)
       27        27 (0,-0.39017737905828825395)
       27        28 (0,-0.09754499812539992043)
       27       205 (0,0)
       27       257 (0,0)
       27       269 (0,0)
       28        27 (0,-0.09754499812539992043)
       28        28 (0,-0.3901815280189364632)
       28        29 (0,-0.097545765884068283413)
       28       162 (0,0)
       28       257 (0,0)
       29         2 (0,-0.09754612347297050845)
       29        28 (0,-0.097545765884068283413)
       29        29 (0,-0.39018377871407761148)
       29       162 (0,0)
       29       189 (0,0)
       30         2 (0,-0.097546123842262827397)
       30        30 (0,-0.39018378030652678401)
       30        31 (0,-0.09754576631100055073)
       30       146 (0,0)
       30       232 (0,0)
       30       272 (0,0)
       31        30 (0,-0.09754576631100055073)
       31        31 (0,-0.39018152975968412033)
       31        32 (0,-0.097544998568841509434)
       31       149 (0,0)
       31       232 (0,0)
       32        31 (0,-0.097544998568841509434)
       32        32 (0,-0.39017738080551866986)
       32        33 (0,-0.097543691833917811618)
       32       149 (0,0)
       32       202 (0,0)
       33        32 (0,-0.097543691833917811618)
       33        33 (0,-0.39017056254531390369)
       33        34 (0,-0.097541589438739140228)
       33       143 (0,0)
       33       202 (0,0)
       34        33 (0,-0.097541589438739140228)
       34        34 (0,-0.39015963649897628107)
       34        35 (0,-0.09753822881074898643)
       34       143 (0,0)
       34       188 (0,0)
       35        34 (0,-0.09753822881074898643)
       35        35 (0,-0.39014189543871280463)
       35        36 (0,-0.097532718908607388131)
       35       131 (0,0)
       35       188 (0,0)
       36        35 (0,-0.097532718908607388131)
       36        36 (0,-0.39011171899979979472)
       36        37 (0,-0.097523140591292481472)
       36       131 (0,0)
       36       219 (0,0)
       37        36 (0,-0.097523140591292481472)
       37        37 (0,-0.39005707948947065944)
       37        38 (0,-0.09750539915344283437)
       37       138 (0,0)
       37       201 (0,0)
       37       219 (0,0)
       38        37 (0,-0.09750539915344283437)
       38        38 (0,-0.38995005470491228561)
       38        39 (0,-0.097469628199013280678)
       38       201 (0,0)
       39        38 (0,-0.0974696281990132668)
       39        39 (0,-0.38972594845217445325)
       39        40 (0,-0.09739334602707393207)
       39       169 (0,0)
