 (0.526922406632+-0.133243406114j)
 (-0.016947913347+0.509288324123j)
 (0.307454531058+0.207068886802j)
 (0.059285792696+0.422381652636j)
 (-1.000000000000+0.000000000000j)
 (-0.809016994375+0.587785252292j)
 (0.900968867902+0.433883739118j)
 (-0.082579345472+-0.996584493007j)
 (-0.500000000000+-0.866025403784j)
 (-0.809016994375+-0.587785252292j)
 (-0.809016994375+-0.587785252292j)
 (-0.500000000000+-0.866025403784j)
 (-0.809016994375+0.587785252292j)
 (-0.500000000000+-0.866025403784j)
 (-0.809016994375+-0.587785252292j)
 (-0.809016994375+-0.587785252292j)
 (-0.500000000000+-0.866025403784j)
 (0.521854504807+-0.175607974093j)
 (0.489954801104+-0.273520053496j)
 (0.408558352886+-0.401462392573j)
 (0.281987664537+-0.529449239278j)
 (0.091837515065+-0.596248906859j)
 (-0.121081641607+-0.591334880557j)
 (-0.336812146129+-0.498678731439j)
 (-0.496491244459+-0.293443282868j)
 (-0.570636800305+-0.037979225399j)
 (-0.550901578576+0.213984385517j)
 (-0.425089071418+0.410179451095j)
 (-0.231360455753+0.509021662126j)
 (0.184355767050+0.418427014414j)
 (0.343526498731+0.262680032115j)
 (0.426703639920+0.079570914619j)
 (0.470545141543+-0.070261240999j)
 (0.473509476767+-0.166225079082j)
 (0.474242487804+-0.196242255376j)
 (0.472954547006+-0.169159122915j)
 (0.466293105456+-0.105513276461j)
 (0.433660987533+-0.014250706402j)
 (0.407173232991+0.074656644852j)
 (0.362120515102+0.149189619396j)
 (0.324449766099+0.194519857624j)
 (0.329136162868+0.187468235078j)
 (0.367820103500+0.131927185758j)
 (0.406955283655+0.045122493674j)
 (0.439616129986+-0.053159732223j)
 (0.446078286079+-0.151032050558j)
 (0.450782289753+-0.222815251566j)
 (0.436731870169+-0.244710617167j)
 (0.437842319943+-0.206582938487j)
 (0.447249807563+-0.104986496814j)
 (0.445576789683+0.050690375216j)
 (0.380818849030+0.219726646444j)
 (0.240799480424+0.346571010814j)
 (-0.142200367956+0.389854020059j)
 (-0.315298697674+0.269622602953j)
 (-0.421211756328+0.083490597922j)
 (-0.435329064707+-0.131987384061j)
 (-0.368463970394+-0.340379080207j)
 (-0.232602587385+-0.504849319608j)
 (-0.044086087367+-0.581216461069j)
 (0.142563100890+-0.564605316205j)
 (0.309295552989+-0.494802080297j)
 (0.419616612762+-0.374022999093j)
 (0.491665905236+-0.257454332571j)
 (0.530380743305+-0.167782074479j)
 (-0.983114172777+0.182993232893j)
 (-0.983114173183+0.182993230715j)
 (-0.374802155873+0.927104818212j)
 (-0.029400288589+0.999567718082j)
 (-0.064967305665+0.997887393043j)
 (0.429734823093+0.902955138322j)
 (0.812033586713+0.583610704194j)
 (0.997054765417+-0.076692859899j)
 (0.824014680323+-0.566568448303j)
 (0.428555759052+-0.903515335444j)
 (-0.298514811540+-0.954405001711j)
 (-0.985060254362+-0.172210032452j)
 (-0.985060253954+-0.172210034782j)
 (-0.809016994375+-0.587785252292j)
 (0.052335956242+-0.998629534755j)
 (0.587785252290+-0.809016994377j)
 (0.933580426496+-0.358367949550j)
 (0.978147600735+0.207911690812j)
 (0.707106781190+0.707106781183j)
 (0.207911690821+0.978147600733j)
 (-0.358367949544+0.933580426498j)
 (0.148113562735+-0.483768604981j)
 (-0.071529245402+-0.614076377035j)
 (0.350152940597+-0.423485525177j)
 (-0.265225018979+-0.656902004742j)
 (-0.016626340744+-0.606535134587j)
 (-0.572510793565+-0.513327701165j)
 (-0.490050248274+-0.547888990448j)
 (0.547406743320+-0.050090587652j)
 (0.573999489438+0.210129267440j)
 (0.054136609831+-0.621198236514j)
 (0.041411229240+0.618201244391j)
 (-0.576142136079+0.313848042377j)
 (-0.701366316461+0.217576406940j)
 (-0.340086292436+-0.609726583293j)
 (0.032430605486+-0.586753720169j)
 (0.278501842548+-0.381833856169j)
 (0.268115512808+-0.382658536711j)
 (-0.777091560797+-0.038735974146j)
 (0.468324830550+0.468684812426j)
 (0.325503471102+-0.439753994489j)
 (-0.555500185740+-0.612422602598j)
 (0.324342076112+-0.644337727069j)
 (-0.494976555663+-0.622955840847j)
 (0.086070048379+-0.569409261845j)
 (-0.045249823240+-0.632233114842j)
 (-0.003461390844+-0.613216296401j)
 (0.361986002843+-0.168084229592j)
 (0.360581772120+-0.170877461616j)
 (-0.776146190927+-0.443097259181j)
 (-0.113748325619+0.690219106197j)
 (-0.587067111755+-0.364310051294j)
 (0.510596859664+-0.019706787919j)
 (-0.088066353692+-0.716075637853j)
 (-0.047745658951+-0.588663161619j)
 (-0.078203403301+-0.598331089633j)
 (0.633436647313+-0.364639650027j)
 (-0.514205343664+0.445295564262j)
 (0.222817900548+-0.530993709250j)
 (0.792065975438+0.021337386710j)
